doi,subject_scheme,subject_name
10.1016/s0140-6736(16)30370-1,altmetric,medicine
10.1016/s0140-6736(16)30370-1,scopus,Medicine
10.1016/s0140-6736(16)30370-1,scopus,Health Sciences
10.1016/s0140-6736(16)30370-1,era,Medical And Health Sciences
10.1016/s0140-6736(16)30054-x,altmetric,medicine
10.1016/s0140-6736(16)30054-x,scopus,Medicine
10.1016/s0140-6736(16)30054-x,scopus,Health Sciences
10.1016/s0140-6736(16)30054-x,era,Medical And Health Sciences
10.1016/s0140-6736(14)60460-8,altmetric,medicine
10.1016/s0140-6736(14)60460-8,scopus,Medicine
10.1016/s0140-6736(14)60460-8,scopus,Health Sciences
10.1016/s0140-6736(14)60460-8,era,Medical And Health Sciences
10.1016/s0140-6736(15)60692-4,altmetric,medicine
10.1016/s0140-6736(15)60692-4,scopus,Medicine
10.1016/s0140-6736(15)60692-4,scopus,Health Sciences
10.1016/s0140-6736(15)60692-4,era,Medical And Health Sciences
10.1136/bmj.g3725,altmetric,medicine
10.1136/bmj.g3725,scopus,Medicine
10.1136/bmj.g3725,scopus,Health Sciences
10.1136/bmj.g3725,era,Public Health And Health Services
10.1038/nature19827,altmetric,science
10.1038/nature19827,scopus,General
10.1038/nature19827,npg,Phylogenetics
10.1038/nature19827,npg,Viral epidemiology
10.1038/nature19827,npg,HIV infections
10.1073/pnas.1218772110,altmetric,science
10.1073/pnas.1218772110,scopus,General
10.1073/pnas.1218772110,era,Multidisciplinary
10.1038/ncb3347,altmetric,cellbiology
10.1038/ncb3347,scopus,"Biochemistry, Genetics and Molecular Biology"
10.1038/ncb3347,scopus,Life Sciences
10.1038/ncb3347,npg,Morphogenesis
10.1038/ncb3347,npg,Embryogenesis
10.1038/ncb3347,npg,Gastrulation
10.1038/ncb3347,era,Biological Sciences
10.1038/ncb3347,era,Medical And Health Sciences
10.1038/nature17948,altmetric,science
10.1038/nature17948,scopus,General
10.1038/nature17948,npg,Developmental biology
10.1038/nature17948,npg,Cell biology
10.1016/s0140-6736(14)61682-2,altmetric,medicine
10.1016/s0140-6736(14)61682-2,scopus,Medicine
10.1016/s0140-6736(14)61682-2,scopus,Health Sciences
10.1016/s0140-6736(14)61682-2,era,Medical And Health Sciences
10.1016/s0140-6736(15)00128-2,altmetric,medicine
10.1016/s0140-6736(15)00128-2,scopus,Medicine
10.1016/s0140-6736(15)00128-2,scopus,Health Sciences
10.1016/s0140-6736(15)00128-2,era,Medical And Health Sciences
10.1016/j.cub.2016.10.061,altmetric,biology
10.1016/j.cub.2016.10.061,scopus,"Biochemistry, Genetics and Molecular Biology"
10.1016/j.cub.2016.10.061,scopus,Agricultural and Biological Sciences
10.1016/j.cub.2016.10.061,scopus,Life Sciences
10.1016/j.cub.2016.10.061,era,Biological Sciences
10.1016/j.cub.2016.10.061,era,Medical And Health Sciences
10.1016/j.cub.2016.10.061,era,Psychology And Cognitive Sciences
10.1136/bmj.f3817,altmetric,medicine
10.1136/bmj.f3817,scopus,Medicine
10.1136/bmj.f3817,scopus,Health Sciences
10.1136/bmj.f3817,era,Public Health And Health Services
10.1136/bmj.h3576,altmetric,medicine
10.1136/bmj.h3576,scopus,Medicine
10.1136/bmj.h3576,scopus,Health Sciences
10.1136/bmj.h3576,era,Public Health And Health Services
10.1016/s0140-6736(16)31467-2,altmetric,medicine
10.1016/s0140-6736(16)31467-2,scopus,Medicine
10.1016/s0140-6736(16)31467-2,scopus,Health Sciences
10.1016/s0140-6736(16)31467-2,era,Medical And Health Sciences
10.1016/j.ypmed.2016.02.002,altmetric,publichealth
10.1016/j.ypmed.2016.02.002,scopus,Medicine
10.1016/j.ypmed.2016.02.002,scopus,Health Sciences
10.1016/j.ypmed.2016.02.002,era,Human Movement And Sports Science
10.1016/j.ypmed.2016.02.002,era,Public Health And Health Services
10.1016/j.ypmed.2016.02.002,era,Curriculum And Pedagogy
10.1016/s0140-6736(12)61031-9,altmetric,medicine
10.1016/s0140-6736(12)61031-9,scopus,Medicine
10.1016/s0140-6736(12)61031-9,scopus,Health Sciences
10.1016/s0140-6736(12)61031-9,era,Medical And Health Sciences
10.3945/ajcn.114.100065,altmetric,nutritionalsciences
10.3945/ajcn.114.100065,scopus,Medicine
10.3945/ajcn.114.100065,scopus,Health Sciences
10.3945/ajcn.114.100065,era,Medical And Health Sciences
10.3945/ajcn.114.100065,era,Engineering
10.1177/1529100616661983,scopus,Psychology
10.1177/1529100616661983,scopus,Social Sciences
10.1177/1529100616661983,era,Psychology
10.1177/1529100616661983,era,Cognitive Science
10.1038/nature19057,altmetric,science
10.1038/nature19057,scopus,General
10.1038/nature19057,npg,Genomics
10.1038/nature19057,npg,Medical genetics
10.1038/499401a,altmetric,science
10.1038/499401a,scopus,General
10.1038/499401a,npg,Climate sciences
10.1038/499401a,npg,Economics
10.1038/499401a,npg,Environmental sciences
10.1016/s0140-6736(16)31012-1,altmetric,medicine
10.1016/s0140-6736(16)31012-1,scopus,Medicine
10.1016/s0140-6736(16)31012-1,scopus,Health Sciences
10.1016/s0140-6736(16)31012-1,era,Medical And Health Sciences
10.1016/j.physletb.2012.08.020,scopus,Physical Sciences
10.1016/j.physletb.2012.08.020,scopus,Physics and Astronomy
10.1016/j.physletb.2012.08.020,era,"Atomic, Molecular, Nuclear, Particle And Plasma Physics"
10.1136/oemed-2013-101993,altmetric,environmentalhealth
10.1136/oemed-2013-101993,altmetric,occupationalmedicine
10.1038/nature11247,altmetric,science
10.1038/nature11247,scopus,General
10.1038/nbt.3439,altmetric,biotechnology
